ID,Name,Price,Location,Rating,Reviews,Type,Images,Pool,Gym,Spa
2,Hotel No 2,Rs 2000,Lalitpur,2,Our experience at Rancho Valencia was absolutely perfect from beginning to end!!!! We felt special and very happy during our stayed. I would come back in a heart beat!!!,standard roomK19,Room15.jpg,YES,NO,NO
3,Hotel No 3,Rs 2500,Biratnagar,3,Amazing place. Everyone was extremely warm and welcoming. We've stayed at some top notch places and this is definitely in our top 2. Great for a romantic getaway or take the kids along as we did. Had a couple stuffed animals waiting for our girls upon arrival. Can't wait to go back.,luxury suite,Room12.jpg,NO,YES,NO
4,Hotel No 4,Rs 3000,Kathmandu,4,"We booked a 3 night stay at Rancho Valencia to play some tennis, since it is one of the highest rated tennis resorts in America. This place is really over the top from a luxury standpoint and overall experience. The villas are really perfect, the staff is great, attention to details (includes fresh squeezed orange juice each morning), restaurants, bar and room service amazing, and the tennis program was really impressive as well. We will want to come back here again.",luxury suite,Room13.jpg,YES,NO,YES
5,Hotel No 5,Rs 3000,Biratnagar,4,Currently in bed writing this for the past hr 1/2 there have been dogs barking and squealing call the front desk to advise basically to be told there's nothing they can do. 315.00 and I can't sleep.,standard room,Room12.jpg,YES,NO,NO
6,Hotel No 6,Rs 1500,Kathmandu,2,I live in Md and the Aloft is my Home away from home...we stayed 1 night 7-7-16 ...Staff is great ! Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs.AND SHE DID ! Thumbs up... More,standard room,Room5.jpg,NO,YES,YES
7,Hotel No 7,Rs 3500,Lalitpur,2,"I stayed here with my family for my daughters wedding. It had a very accommodating staff, Olivia was excellent. The rooms were very well maintained. Would highly recommend this hotel, especially if your wedding venue is Celebrations at the Bay!",family room,Room2.jpg,YES,YES,NO
8,Hotel No 8,Rs 3500,Biratnagar,2,"Beautiful rooms and the nicest people working there. The front desk lady, Olivia, was extremely patient and helpful. We had lots of questions and she had just as many answers. The rooms were sleek and modern. The only thing that would make this hotel better would be free breakfast, but I really am asking for a lot. A++ stay. Thank... More",deluxe hotel room,Room4.jpg,YES,YES,NO
9,Hotel No 9,Rs 3000, Pokhara,3,"We stayed here while visiting Maryland Live!. Cute hotel in a great location. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff. Would definitely recommend and stay there again!",family room,Room14.jpg,NO,YES,NO
10,Hotel No 10,Rs 2000,Bharatpur,5,"I travel a lot with my job, so I'm constantly staying at hotels. When my co-workers and I arrived late last night at the Aloft the people at the front desk were more than welcoming. When I wanted to order room service I was told it was too late however, Olivia at the front desk informed me of a Italian... More",deluxe hotel room,Room3.jpg,NO,YES,YES
11,Hotel No 11,Rs 3000, Pokhara,5,"In my line of work, I use meeting space in hotels often. In my 15+ years of doing this work, this is the first time I've felt the undeniable pull to go out and write a hotel review, based solely on my meeting room experience. Though I did not use a guest room here, my colleagues who did shared that... More",family room,Room5.jpg,YES,NO,YES
12,Hotel No 12,Rs 2500,Birgunj,4,"The staff is very friendly and helpful. The rooms are large and nicely furnished. Feels new, as if we were the first to stay there. Actually it is more opulent than I require. The free breakfast was good with sufficient choices including fresh fruit salad, eggs, bacon, bagels and pastries and more. It was a great location for our purpose:... More",standard deluxe,Room8.jpg,YES,NO,NO
13,Hotel No 13,Rs 3500,Kathmandu,3,"Very friendly staff, great free breakfast items each morning, room and facilities very clean, staff superb! We had a problem with the heating system in our room and they had someone fix it within minutes! Would highly recommend this location/hotel.",junior suite room,Room4.jpg,YES,YES,NO
14,Hotel No 14,Rs 2500,Bharatpur,4,"Upon arriving I see modern yet elegant decor which is pleasing to the eye. The front staff are very friendly. The room was clean including details, I'm talking no dust,no hair in bathroom-shower or beds which I tend to find in other hotels. Kudos to housekeeping. Sheets were crisp,beds were comfortable especially since this is a newer hotel. Breakfast in... More",family room,Room5.jpg,YES,NO,YES
15,Hotel No 15,Rs 3500,Biratnagar,5,This is a nice hotel with great staff. I have young children and the entire staff from the front desk staff to the breakfast staff were there to help us. This was our first visit to the Portland area and we plan to go back later this summer. We will stay at this hotel when we return.,deluxe hotel room,Room6.jpg,NO,YES,YES
16,Hotel No 16,Rs 2000,Birgunj,4,"Beautiful property and every staff member I encountered (front desk, housekeeping, breakfast hosts and GM) provided beyond excellent customer service! It's also conveniently located near restaurants, grocery stores starbucks and is a short drive to the freeways. I will definitely be back!",standard deluxe,Room10.jpg,YES,YES,YES
17,Hotel No 17,Rs 1000,Biratnagar,4,Old hotel with many remaining architectural charms and most modern amenities. The staff is exceptional: friendly and very accommodating. Has a little bit of the wear tear around the edges associated with an historic building but remarkably clean. Passed the allergy test.,standard room,Room6.jpg,NO,YES,NO
18,Hotel No 18,Rs 2000,Bharatpur,5,Very comfortable room. Our son came and they had a couch that they pulled out into a queen size bed. Free wifi and bottled water. This hotel was built back in the 20's and the decor is fabulous. A very neat hotel.,luxury suite,Room15.jpg,YES,NO,YES
19,Hotel No 19,Rs 3000,Biratnagar,4,Stayed here for second time recently. Gorgeous lobby. Friendly staff. Good free shuttle service. Our room this time was disappointing. King bed in too small space so that one side did not even have a lamp. Also the heating/cooling unit was right next to the bed and very noisy so we turned it off. Luckily it was not needed. Room... More,luxury suite,Room6.jpg,YES,NO,NO
20,Hotel No 20,Rs 2500,Bharatpur,3,"My husband and I always try to stay at the Hotel Phillips when we are in Kansas City. It is our favorite hotel and we have stayed at many. I feel at home there and the staff has always been exceptional, although we are not particularly demanding guests. Over the years we have probably spent at least 20 nights there.... More",family room,Room6.jpg,YES,YES,NO
21,Hotel No 21,Rs 1500,Biratnagar,3,"Just stayed one night but very happy. Nice, comfortable top floor room. Staff could not have been more helpful. Great location right by the Power Light district. Be prepared to pay for valet parking. Price of this was Offset though by free wine and cheese reception.",standard deluxe,Room11.jpg,NO,NO,NO
22,Hotel No 22,Rs 2000, Pokhara,3,"Everything was sold out in State College for Garth's concerts and the Inn came up as available...what an amazing find!! I'll be making the drive now each visit, just to stay there! The Inn is wonderfully decorated and I so enjoyed browsing all the books. Breakfast was amazing each morning. Thank you Stephanie and team!!",deluxe hotel room,Room3.jpg,NO,NO,YES
23,Hotel No 23,Rs 3000,Birgunj,3,I work here in Perry about 6 days out of the week. The People here are very friendly and willing to make your stay better. The hotel is great for my simple needs as I'm away from home. The rooms and hallways smell very clean each time I enter and leave. I will continue my business here for sure.,junior suite room,Room1.jpg,NO,NO,NO
24,Hotel No 24,Rs 1000,Lalitpur,5,"The hotel is just one of many that are on this new trend of firmer pillows and mattresses. This is the third hotel I have stayed in the last few months that have had firmer vs softer mattresses in their rooms. Aside from the bed The room was well appointed, comfortable and really The bonus Those super plushy and comfy robes in the closet. I miss a good hotel robe and this one had one!! Another little thing I loved was the spa water and coffee service in the lobby. High quality coffee and the New York Times Count me in! The maid service was friendly, attentive, and I even got a little note. Would totally stay again.",luxury suite,Room15.jpg,YES,YES,NO
25,Hotel No 25,Rs 1000,Lalitpur,5,"excellent location near convention center. friendly, willing staff. not a true luxury hotel in terms of the room I received, but a comfortable clean room, I didn't really need any more than that. After all you're here to visit San Francisco, not the hotel.",luxury suite,Room2.jpg,NO,YES,YES
26,Hotel No 26,Rs 2500,Birgunj,4,"Hotel Zelos was a great place to stay in San Francisco. The staff is definitely the highlight of the hotel. The hotel itself is great: clean, well decorated, etc, but the people who work there were very helpful and friendly. The location is great being right next to the Powell BART station but the neighborhood is under construction. This obviously isn't the fault of the hotel and won't impact your stay. We couldn't hear any of the construction, but it makes it a little more difficult to get around. Overall, I definitely recommend Hotel Zelos!",family room,Room1.jpg,YES,NO,YES
27,Hotel No 27,Rs 2500,Bharatpur,4,"Pros: the location is awesome, the room size is great, the bathroom is nice also with a nice tub. Bad: the style and furniture starts to get really old, no breakfast despite the high price, the price is high, nothing exeptionnal... We were 4 people and so 4 reservations. Unfortunately one was missing. It was 1am so very bad surprise.... More",junior suite room,Room7.jpg,NO,YES,NO
28,Hotel No 28,Rs 3500, Pokhara,3,After getting the bait and switch I decided I'd rather stay anywhere else. I'm sure I wasnt missing much as it looks like project style crack house apartments. The front desk (old middle eastern lady) was extremely rude and up charged me 50 when I got there! I travel and stay in hotels 250 days/ year and trust me this... More,family room,Room13.jpg,YES,YES,YES
29,Hotel No 29,Rs 3000,Lalitpur,5,"We had no choice but to stay here when a tornado hit the area and most of Vineland was without power. They charged us 190 for one night, wouldn't accept my AAA card and after leaving, we found out, we had been charged for 4 cats (which we don't own) and for another person. It was only my husband and... More",standard deluxe,Room11.jpg,YES,YES,NO
30,Hotel No 30,Rs 3000,Lalitpur,4,"Hotel is in the perfect spot at the perfect price with the not so perfect view. Expedia rep said that it was facing the water and in a way it was but at a 45 degree angel past the parking lot and a few other obstructions. You have to stretch your neck at the furthest corner of the window to gain a peak. But it was still good though. The room sleeps like nobody's business. Once your head hits the pillows its light out. What I did not like was the front desk personnel. They really did not like there job and it showed. No eye contact, no smiles, no small talk, and what really disturbed me was at check in when I was told to sign this that's how it was put. I was like what is it Just sign - its nothing. Sir What am I signing. Oh if you have a party and smoke we can charge you 250.00(eyes still on monitor). Well sir. Tell me that. Next. Came back later that night to get snacks out of the cupboard. Over priced but I expected that but the person at the front desk was lifeless and didn't not even give me a total. She just says. Its charged to your room and kept staring at her monitor(again the monitor). WOW. But what makes up for some of the small inconsistencies is that fact that the water is in walking distance. The Ferris wheel is right there and Gaylord Hotel is right across the street. Good energy in the area and great spots to eat(Redstone) . Cant wait to visit again. Thanks for the snacks!",family room,Room7.jpg,YES,NO,YES
31,Hotel No 31,Rs 1000,Biratnagar,3,Excellent experience. Will come again and book stay in the future,standard room,Room4.jpg,YES,NO,NO
32,Hotel No 32,Rs 3500,Bharatpur,2,"heat in room did not work properly, tv remote was broken excessive noise",junior suite room,Room11.jpg,YES,NO,NO
33,Hotel No 33,Rs 1000,Kathmandu,4,"Even though we were having problems, i.e. Feather allergy, Flat tire, key not working...the front desk personell were always gracious and helpful.",standard deluxe,Room9.jpg,NO,NO,NO
34,Hotel No 34,Rs 1000,Biratnagar,5,"Brand new hotel in brand new retail area on the water. Easy to access off the beltway. Friendly staff, clean rooms, comfortable beds. Only complaint is that the full offering of the Hampton Inn breakfast was not available at the two times we came down (at 7am and 9am on a Saturday). The food at 9am had been in the bin too long. Still more choices than the continental breakfast at other places, including make-you-own waffles and yummy egg burritos. The fee for parking in the community garage was free with room key and even included a convenient room key drop upon final exit. Pool but no hot tub.",deluxe hotel room,Room1.jpg,YES,YES,NO
35,Hotel No 35,Rs 2000,Kathmandu,5,It was a great stay,standard deluxe,Room4.jpg,YES,YES,NO
36,Hotel No 36,Rs 1000,Kathmandu,2,"My sister came into town so we decided to go to The National Harbor for a night. Checking in, the hotel staff was very pleasant. Parking is in a garage behind the hotel, for 18. Our room was clean with nice views. The bed was very comfortable. We were able to walk comfortably to the harbor and sightsee. There are also restaurants and bars within walking distance. Breakfast was great, with canadian bacon and sausage patty meat options. There was also a waffle station, eggs, potatoes, fruit, yogurt, cereal, muffins, and other pastries. Checkout was a breeze, and the front desk staff again, was very pleasant. I very much enjoyed my stay and I will definitely return!",standard room,Room10.jpg,NO,YES,NO
37,Hotel No 37,Rs 1500,Lalitpur,4,Free breakfast! Attentive staff Fantastic location,family room,Room7.jpg,NO,YES,YES
38,Hotel No 38,Rs 2500,Biratnagar,2,"Excellent experience. Due to a mix-up on my part with the online travel service it was set up as a king rather than two queen beds, for two guys. I immediately called at the time and Hampton said they would make a note that a room with two queens was needed. When i got there, they didn't have a 2-queen room so they put me up in another king room (and my buddy stayed in the original room) at NO additional expense, and I moved to a 2-queen room the next day. That is awesome, customer-oriented service.",standard deluxe,Room7.jpg,YES,YES,YES
39,Hotel No 39,Rs 2500,Lalitpur,4,The room was really big and clean. The staff was great. The hotel offers free breakfast that was really good ( not the usual crappy free breakfast) The only thing I didn't like about the room was that the air conditioner was regulated a motion sensor. We happened to be staying here on one of the hottest days of the year. The unit only stays on if the motion censor registers a person being in the room. Upon arriving the room was hot. It took about 20 mins for it to cool off. Also the AC cut off during the night when we fell asleep (No movement). I woke up in a pool of sweat and had to get up a walk around periodically to keep the AC going. That really sucked..,standard deluxe,Room15.jpg,YES,YES,NO
40,Hotel No 40,Rs 2000,Lalitpur,3,THE LOCATION OF THE HOTEL WAS OUTSTANDING. BUT THERE IS AND ADDITIONAL COST FOR PARKING JUST KEEP THAT IN MIND . IF YOU PAY FOR PARKING AT THE TIME YOU CHECK - IN BE SURE TO HAVE IT OUT BEFORE 1 PM THE NEXT DAY,luxury suite,Room12.jpg,NO,NO,NO
41,Hotel No 41,Rs 1000,Birgunj,5,"was too quick, but very nice area",luxury suite,Room8.jpg,YES,YES,NO
42,Hotel No 42,Rs 1000,Birgunj,3,"clean, good area, very kind crew, easy to park",deluxe hotel room,Room13.jpg,NO,NO,YES
43,Hotel No 43,Rs 3500,Lalitpur,3,We had a great overnight trip to the National Harbor near DC. All of the sites and entertainment were within walking distance!,standard deluxe,Room9.jpg,YES,YES,NO
44,Hotel No 44,Rs 2500,Birgunj,3,I loved my stay VIP service all the way. I didn't want to leave. I can honestly say I will visit again. I give it 5 stars,standard room,Room5.jpg,NO,YES,NO
45,Hotel No 45,Rs 2500,Biratnagar,2,"The only problem I have was their sensorize INNCOM thermostat for air conditioning unit to start-up. If there are not movement inside the room, it will not kick in..... sucks!! the trick is, you have to keep moving while sleeping to keep the AC running (LOL)....",luxury suite,Room6.jpg,YES,NO,YES
46,Hotel No 46,Rs 2500,Kathmandu,3,"Convenient and comfortable. Staff is great, breakfast and WiFi is a bonus.",standard deluxe,Room13.jpg,NO,NO,YES
47,Hotel No 47,Rs 2000,Kathmandu,2,I was really disappointed with the TV service. Very few channels and poor quality.,family room,Room2.jpg,NO,YES,YES
48,Hotel No 48,Rs 2000,Lalitpur,3,"Awesome, Overall",standard deluxe,Room6.jpg,YES,YES,NO
49,Hotel No 49,Rs 2000,Biratnagar,4,Better with more extras like breakfast. Preferred place to sleep for conference.,deluxe hotel room,Room9.jpg,YES,YES,YES
50,Hotel No 50,Rs 1000,Lalitpur,3,Very good experience. Staff was great. Enjoyed my times especially after my previous fiasco at that other hotel.,standard deluxe,Room12.jpg,YES,YES,NO
51,Hotel No 51,Rs 1500, Pokhara,2,"The hotel is located near all the attractions on the Harbor. We were provided more than we expected. There was parking right across the street restaurants within 5 minute walking distance and most of all hot and cold continental breakfast in the morning and hot coffee and tea available all day in the lobby. The rooms were very comfortable. I slept just like I was at home. Oh, I can't forget the staff: they were on their job with an attitude of excellence!",family room,Room5.jpg,YES,NO,YES
52,Hotel No 52,Rs 1500,Biratnagar,5,"Repeat trip to this hotel for national conference attendance. Provides a quality stay, business center kept me in touch and great value for limited travel budget.",standard deluxe,Room1.jpg,NO,YES,YES
53,Hotel No 53,Rs 3000,Biratnagar,4,I can't comment on the breakfast because we slept through it but everything else was excellent! I dont know why anyone would pay twice the price to stay at the Gaylord. 5 stars all the way!,luxury suite,Room15.jpg,NO,NO,YES
54,Hotel No 54,Rs 3500,Kathmandu,2,Our room was a bit small. There was no microwave in the room. Location was more for couples than for family. The room itself And service were excellent.,family room,Room12.jpg,YES,NO,NO
55,Hotel No 55,Rs 2500,Biratnagar,3,"This hotel is a peach. The staff are friendly, the hot breakfast filling and the rooms are immaculate. This should be a poster child for how to run a hotel.",family room,Room9.jpg,NO,YES,YES
56,Hotel No 56,Rs 1000, Pokhara,3,"Hampton Inn never disappoints. Always an affordable, clean hotel with attentive and friendly staff. The breakfast is always a plus too. Also, the National Harbor is a nice area full of shops and dining choices and seems to be a family friendly hangout destination for locals.",standard room,Room14.jpg,YES,YES,YES
57,Hotel No 57,Rs 1000,Kathmandu,4,I stayed here with some friends for a convention. It was a good room and the free breakfast was nice.,standard deluxe,Room13.jpg,YES,YES,YES
58,Hotel No 58,Rs 3000,Biratnagar,3,"The hotel offers comfortable, somewhat elegant rooms but I suppose I was more impressed with the personnel and the warmth you get interacting with them. But for my phone call bills which seemed a bit high, my stay overall was great.",junior suite room,Room3.jpg,YES,YES,NO
59,Hotel No 59,Rs 1000,Kathmandu,5,"We were there for 3 nights and used it as a staging area for sightseeing in DC and Baltimore. It's a nice, new hotel with reasonable rates. The staff was great with our kids, who had a blast at the pool and the 24/7 snack bar. The continental breakfast was great, but they should consider expanding their hours or at least allowing guests to finish the food that is out at 10, because every morning the food was taken away promptly at 10:00 even though the area was packed with guests still trying to get breakfast. Parking was 13/day and right across the street, which is quite reasonable for the DC area.",deluxe hotel room,Room2.jpg,NO,NO,YES
60,Hotel No 60,Rs 2000,Kathmandu,4,"Reasonable rates with free breakfast and right in front of Gaylord National Resort worked for me very well. The rooms have good size bathrooms and the air conditioning in the rooms was excellent. Parking is 11 per day and that is why I did not give it 5 stars. However, at National Harbor 11 is not bad especially when Gaylord charges double of it per day.",standard deluxe,Room1.jpg,NO,NO,NO
61,Hotel No 61,Rs 3500,Kathmandu,3,"We hosted our annual Client Event at The Grand Del Mar and it was excellent!! The service, property, rooms, restaurants, and GOLF absolutely magnificent. Our conference managers were a gem, great service! Thank you for making an important event run so smoothly.",family room,Room3.jpg,YES,NO,YES
62,Hotel No 62,Rs 2000,Biratnagar,5,"We enjoyed every minute of our stay in this breathtaking luxurious resort. The hotel is well kept and boasts caring and attending staff that do their best to make your stay memorable. The hotel offers great rooms, amenities and activities for all ages. I fell and fractured my hand on the last day of our stay (off property) and the... More",standard room,Room8.jpg,NO,NO,YES
63,Hotel No 63,Rs 3000,Lalitpur,2,"We arrived here very tired after 24 hours of travel and airports and from the moment we arrived we felt like royalty. We dined a Amaya multiple times (please see separate review). The room was stunning and more than we could ever expect, nothing was to little for the staff and they all seemed genuinely friendly even down to the... More",standard room,Room9.jpg,YES,NO,YES
64,Hotel No 64,Rs 1000, Pokhara,4,"Stayed here for Thanksgiving and had the best experience. Before we arrived they asked my three year old little boy's name and when we arrived they had the most adorable kids travel pillow and personalized cookie waiting for him. They had children's games on the lawn right outside our bottom floor room, 105, and he had his face painted for... More",family room,Room8.jpg,NO,YES,YES
65,Hotel No 65,Rs 3000, Pokhara,5,"This exquisite property located in the penasquitos canyon of North County is a spectacular retreat. In a setting resembling a Mediterranean villa, the hotel is truly grand, with spacious rooms, several dining options and cozy sitting areas to relax and soak up the well appointed spaces and beautifully manicured grounds. The resort amenities include golf, tennis, heated pools and a... More",luxury suite,Room8.jpg,NO,NO,YES
66,Hotel No 66,Rs 2500,Kathmandu,4,"Five of the last six years, our company has hosted our annual meeting at the Grand Del Mar (and we regret not having it six out of six years). The GdM may be the top place to stay in the US, thus my recommendation is in the title of the review. The GdM is not inexpensive, but it is worth... More",standard deluxe,Room2.jpg,YES,YES,NO
67,Hotel No 67,Rs 3000,Kathmandu,4,We drove down for a weekend getaway and to celebrate a special birthday. Our infant son accompanied us. The room was nice but the bathroom was fabulous. We appreciated the separate large shower from the tub and the private toilet. I wasn't as much of a fan of the closet being inside the bathroom as it was a trip to... More,luxury suite,Room13.jpg,NO,NO,YES
68,Hotel No 68,Rs 2500,Biratnagar,5,This resort is GORGEOUS!! Check in was perfect our room wasnt ready (we were there early) so they took my phone number while we had drinks by the pool and in 20 mins or so our room was ready! The next day we had spa appts and the receptionist heard it was our honeymoon trip so after our massages we... More,luxury suite,Room14.jpg,NO,YES,NO
69,Hotel No 69,Rs 2000,Kathmandu,2,The resort and staff are wonderful. The hotel is very nice and the groups are beautiful. The location is secluded so you need a rental car or to book the house car in advance. The concierge staff has not been to most of the spots so use trip advisor to help find the right places.,family room,Room2.jpg,YES,YES,YES
70,Hotel No 70,Rs 2000,Kathmandu,4,"This is a very, very, very good hotel. My expectations were high because of the reviews I had read and it didn't quite meet my expectations. I know I'm knit-picking but while the abundance of fresh flower petals in my room were very nice I would gladly have traded them for a room service breakfast with hot coffee, hot ham... More",standard deluxe,Room13.jpg,YES,NO,NO
71,Hotel No 71,Rs 1000,Biratnagar,2,"Expensive Yes. Service Above the norm! Nickel and dime you on the small stuff Nope! (one of my pet peeves if you are going to stay at a hotel of this caliber) This property gives you 5 star service. Forgot your work out clothes Let the staff know your size. Need some feminine products, be there in 5 minutes. The... More",standard room,Room5.jpg,YES,YES,YES
72,Hotel No 72,Rs 3000,Birgunj,4,"If you don't mind staying out of town, the Fairmont Grand Del Mar is a top quality choice for San Diego located about 25 minutes north of the airport. It is a large traditional colonial property, with a beautiful golf course on the west side of the grounds, ample parking, equestrian facilities and a good spa (which has the best... More",junior suite room,Room2.jpg,NO,NO,YES
73,Hotel No 73,Rs 2000,Bharatpur,5,"This property is absolutely pristine. The grounds are perfectly maintained, the rooms are luxurious with exquisite detail and the hotel in general is just a site to see. The location is great if you want to be away from the city and in a quiet area with gorgeous views of the hills (but close enough to to drive to Del... More",deluxe hotel room,Room13.jpg,YES,NO,YES
74,Hotel No 74,Rs 3000,Lalitpur,3,"I love The Grand Del Mar in Del Mar California. This might have been my 6th time there. It is the only hotel in the area that i will stay at. It is truly a 5 star property. The staff is professional and very attentive. The rooms are very spacious, with marble bathrooms and separate shower and soaking tub. The... More",deluxe hotel room,Room10.jpg,NO,YES,YES
75,Hotel No 75,Rs 1500, Pokhara,2,"We had a wonderful stay at the Fairmont! This is an excellent hotel, with great attention to detail including hotel grounds, architecture, amenities and staff. Service is first class and natural, you are made to feel very welcome. Great looking golf course, and plenty of other activities to enjoy such as walking, the pool, tennis. Or just relax in the... More",junior suite room,Room7.jpg,NO,NO,NO
76,Hotel No 76,Rs 1000, Pokhara,2,"To date, this takes the prize. It did not overwhelm me but I was, over the four days I stayed, consistently well served and impressed at the degree of detail that was maintained in every aspect of the experience. In the same way that the hotel service was a consistently delivered, high degree of service, without being over the top,... More",luxury suite,Room5.jpg,YES,YES,NO
77,Hotel No 77,Rs 2000,Biratnagar,3,It's a great place to stay and leave a car if you are flying out. The courtesy shuttle takes 10 minutes to get to O'Hare.,standard deluxe,Room5.jpg,YES,YES,NO
78,Hotel No 78,Rs 1500,Lalitpur,4,"Give Robert a raise! We were trying to catch a flight from O'Hare to ATL early in the morning and my girlfriend forgot her phone in the room. Luckily, we called and he managed to get the phone as we made our way back on the provided shuttle bus. Orlando the shuttle driver was quick to pull us into our... More",standard room,Room14.jpg,NO,NO,NO
79,Hotel No 79,Rs 1000,Biratnagar,2,Average hotel for decent price. It was balanced. Housekeeping did leave our door only ajar after cleaning one day. Arrrggghhhh!!!!! Nothing was missing.,standard deluxe,Room7.jpg,NO,YES,YES
80,Hotel No 80,Rs 1500,Kathmandu,2,The room key did not work i to go to lobby 4 times no parking under heavy construction noise the staff very incompetent I will not come back to this hotel,standard deluxe,Room8.jpg,NO,NO,YES
81,Hotel No 81,Rs 1500,Birgunj,5,We Had the best time ever! r r What a ball we had at Clarion Resort Waterpark! r r The place was large enough to have plenty of rides but small enough to walk comfortably. r r The entire facility is NEW and all the rooms are well,junior suite room,Room2.jpg,NO,YES,NO
82,Hotel No 82,Rs 2500,Lalitpur,5,"Awesome hotel. Virgin really took the time to figure out all things at are frustrating about staying in a hotel and fixed them - kudos!!! The hotel will become a regular haunt in the future. From free wifi, free cocktails, a mini bar you're not terrified to touch, not to mention the no check out time, they really are way ahead of the rest. Oh by the way did I mention the really cool room... Awesome! Highly recommend the hotel. From young teens to my parents in their 70's the hotel met our every need.",family room,Room4.jpg,NO,NO,NO
83,Hotel No 83,Rs 3000,Biratnagar,4,"Bad: The bed wasn't that comfy, which was surprising given all of the other amazing details. Sheets were rough/stiff- not cozy. Could be easily fixed, though!. Good: This was by far one of the best hotel experiences I've ever had. Check-in and check-out was super fast, staff was phenomenal, and the room was very intuitively set-up with thoughtful details technology. It was clear that Virgin isn't just a typical hotel. The chamber set-up of the room allowed for privacy comfort, even in a relatively small space. Snacks mini-bar had 7-11 prices. Everything was super clean, well serviced and wonderful. In short: STAY HERE!",luxury suite,Room14.jpg,YES,NO,YES
84,Hotel No 84,Rs 2500,Lalitpur,2,"Bad: Noisy in lower floors, but not at all at higher ones. Good: Very comfy beds, great lobby/bathroom",luxury suite,Room9.jpg,NO,NO,YES
85,Hotel No 85,Rs 3000,Lalitpur,2,Good: Staff went out of their way after checkout to locate an item I had left in the room. The room had already been cleaned and the staff got the item back to me as quickly as possible. Roof top bar was beautiful.,luxury suite,Room9.jpg,NO,YES,NO
86,Hotel No 86,Rs 1500,Biratnagar,3,"Bad: A little bit of noise from the 'L' down below, but then again that is part of the character of the city. Good: Overall cleanliness, new feel, friendly efficient staff, great happy hour! Excellent location.",standard room,Room12.jpg,YES,NO,YES
